,"RMSE(GT,blurred)","RMSE(Res*K, blurred)","SSIM(GT,blurred)","SSIM(Res*K, blurred)"
0,0.13135177471494863,0.05420651866716099,0.6101217310800677,0.9575556477810346
1,0.09107032721625467,0.04856644873662591,0.6973073174270598,0.9420792762812612
2,0.13936772164426753,0.07052390638117735,0.3065438795343727,0.9606706349706486
3,0.05505847348687501,0.0462210560931281,0.8276465086223689,0.9768675590978811
4,0.10756330380435432,0.05250216959399598,0.5272936563647213,0.9722930417622665
5,0.13614746927176036,0.059427945593792685,0.5960830828724107,0.9673044316766248
6,0.1400063800324731,0.04703030663395037,0.31260902634215204,0.9599359775391015
7,0.14262208736943774,0.05454091648136666,0.6501637788379131,0.9164249084763261
8,0.08112439403644268,0.05136778613438389,0.7302987149715775,0.9432955785985834
9,0.1003642029673312,0.05487627604975438,0.6997244347814295,0.9514251736199142
10,0.15424204604151678,0.05574121783604237,0.4079598395198849,0.9650054610261298
11,0.1124645208529589,0.0463491028046552,0.482808051385859,0.827734989548351
12,0.09623231862052826,0.05656303436288575,0.6714988218121364,0.9663295654874796
13,0.09874175186892653,0.06871366917673459,0.7544552371752634,0.9487450830005744
14,0.10394037039190036,0.054324403580797404,0.580255418628108,0.9583556473896462
15,0.07019774021073254,0.056822506515915465,0.6301688804536248,0.9223146025285632
16,0.0821524904710339,0.046223391835929106,0.7398222205205127,0.9655986502805032
17,0.17794372346277598,0.06048025368079935,0.3652172331518607,0.9376026514991772
18,0.0835448391068478,0.046818369989798735,0.6141436182618231,0.9542753396820515
19,0.061301054321946706,0.07018746314081056,0.6854391274037341,0.8799274233231397
20,0.1425790084086218,0.052677324954986525,0.38002787467982013,0.9840425777555154
21,0.11539252130778156,0.05791051724895908,0.52135919324055,0.9357879155374279
22,0.07961681477621672,0.04685886203742657,0.6687501686117189,0.9433853373386966
23,0.12086345150271804,0.054740112871902086,0.666714061856039,0.9858771051680252
24,0.1255140855852063,0.05557382201366466,0.4906648267018412,0.9308539707994058
25,0.15443109673323616,0.05716677241819084,0.6999776090549843,0.9681213598881182
26,0.16196226451842638,0.05267270115986305,0.34021729899891046,0.9760531960387427
27,0.11392356875514824,0.05317387136756746,0.6367444885945298,0.9547796041463561
28,0.07185443332955023,0.043879908564498936,0.7628254738042486,0.9833457730954371
29,0.14786954943312428,0.046914074009365744,0.39151800707886325,0.9553054616939264
30,0.15412135005515373,0.05075945793267059,0.2755689546139442,0.9658565852519072
31,0.11460443366582443,0.05679154064526503,0.551529382602129,0.9715200406932922
