,"MSE(GT,blurred)","MSE(Res*K, blurred)","SSIM(GT,blurred)","SSIM(Res*K, blurred)"
0,0.013688441271496144,0.0007436790842057577,0.638893699233874,0.9789784496823918
1,0.007027699623716232,0.00038944104452563576,0.718745044652487,0.9608017212319832
2,0.019828504412937063,0.0003890574638982009,0.3013803374835072,0.9426618149488717
3,0.0035207880139461484,0.0003931564703240413,0.7999389400012372,0.9542313709430924
4,0.0121155909573416,0.0006032144910605518,0.5236518390458487,0.9902778326079147
5,0.035700266501184054,0.0006548778718930768,0.4772897571996473,0.971436644475658
6,0.02222499420534911,0.0005907808090070438,0.29599895926739134,0.9889070612120566
7,0.015414248930654646,0.0009746908324222031,0.6997427915902564,0.963511404984083
8,0.009212144102971394,0.0010217272426287763,0.7049861731653749,0.9715107576694482
9,0.01485741639001336,0.00076526728554464,0.6570692212918482,0.9839618643745222
10,0.021004749313199837,0.0008934642902708852,0.4294863552697283,0.9857906985173933
11,0.01036918990427945,0.0005636666775081301,0.5553856130334552,0.8914788175216753
12,0.010712005374814038,0.00046270049406967506,0.6493280814620179,0.9567253234307789
13,0.008261667850093982,0.0005943425873936933,0.7685102554393693,0.9645298138207002
14,0.015442008625289126,0.00038321837832109917,0.5252684413054848,0.9471647580503743
15,0.005573586312727856,0.0009558152606999173,0.6166671382972132,0.9603800111295601
16,0.005715029885484235,0.0011953134020444148,0.7614529811289377,0.9774185190464917
17,0.038152125649003756,0.0005905759134290188,0.364750229070532,0.9807502425905168
18,0.009393686729033068,0.0007913687231348235,0.6185496696735969,0.9863173569612084
19,0.00247174494177181,0.0007378024410861225,0.7245057499109988,0.9564222352633667
20,0.021324211474701888,0.000651390406834891,0.3744127010299546,0.9863046918914484
21,0.011245188457194187,0.00028800905924173927,0.545173599457148,0.9772359385640037
22,0.008632830290580026,0.0013583676729822013,0.6125577618664158,0.9677562687971957
23,0.01715106183093622,0.0008998925479604769,0.6611941223218697,0.9893719352007851
24,0.018319099291248732,0.00062398772876027,0.4634880979251001,0.9376334510668436
25,0.02280070110798845,0.00044101779467696836,0.6897244048948069,0.9670050533622228
26,0.021871676032518245,0.0005300727886732144,0.3709019298517947,0.9818894677188047
27,0.007514971392669922,0.001623727504628011,0.6936540674907039,0.9756804643929359
28,0.006081957589729194,0.0027953660223983957,0.754576060252093,0.9911436163816617
29,0.024624405839404062,0.00029987524157273763,0.3855553278908064,0.9930895490930196
30,0.02407888238521238,0.00043529901016295104,0.27560396115954416,0.9907749771600485
31,0.010113285061916364,0.0003552195478108502,0.569428717696531,0.9516638785527515
32,0.020006735380168467,0.00019653592172570592,0.34716223878404057,0.970859631161686
33,0.007607462926386243,0.0006060137032309143,0.7490411764670794,0.9588801650211735
34,0.007990183836350853,0.0005957658307888037,0.619934781078644,0.9827972529014602
35,0.0071196552919748,0.000994169963581284,0.6366813587834818,0.9779928321749569
